t_Android;t_unix;steps;a
126700587978566;1764844644532;23729.0;3
126701085097889;1764844645029;23729.0;3
126701582251847;1764844645530;23729.0;3
126702079380858;1764844646025;23729.0;3
126702576558983;1764844646523;23729.0;3
126703073661118;1764844647016;23729.0;3
126703570807212;1764844647513;23729.0;3
126704067939087;1764844648013;23729.0;3
126704565068826;1764844648530;23729.0;3
126705062205181;1764844649023;23729.0;3
126705559337420;1764844649518;23729.0;3
126706553607264;1764844650508;23729.0;3
126707050737160;1764844650995;23745.0;3
126707547887941;1764844651492;23745.0;3
126708045034868;1764844651992;23745.0;3
126708542163826;1764844652490;23745.0;3
126709039294087;1764844652985;23745.0;3
126709537058410;1764844653483;23745.0;3
126710033539660;1764844653978;23745.0;3
126710530707472;1764844654489;23745.0;3
126711028072160;1764844654982;23745.0;3
126711524978306;1764844655487;23745.0;3
126712022117212;1764844655979;23745.0;3
126712519252837;1764844656465;23745.0;3
126713016512056;1764844656959;23745.0;3
126713513526535;1764844657456;23745.0;3
126715004933149;1764844658957;23745.0;3
126716496860597;1764844660442;23745.0;3
126716993504035;1764844660956;23764.0;3
126717490637993;1764844661450;23764.0;3
126717987779972;1764844661950;23764.0;3
126718484925285;1764844662441;23764.0;3
126718982310806;1764844662947;23764.0;3
126719479191170;1764844663424;23764.0;3
126719976847472;1764844663926;23764.0;3
126720473470910;1764844664420;23764.0;3
126720970610076;1764844664916;23764.0;3
126721467747502;1764844665414;23764.0;3
126721964907450;1764844665907;23764.0;3
126722462038335;1764844666407;23764.0;3
126722959302762;1764844666909;23764.0;3
126723456355679;1764844667413;23764.0;3
126723953454846;1764844667915;23764.0;3
126724450593231;1764844668414;23764.0;3
126724947736616;1764844668892;23764.0;3
126725444857241;1764844669388;23764.0;3
126725941997398;1764844669886;23764.0;3
126726439148387;1764844670385;23764.0;3
126726936334377;1764844670891;23780.0;3
126727433432502;1764844671379;23780.0;3
126728427761356;1764844672375;23780.0;3
126728924849325;1764844672873;23780.0;3
126729421982762;1764844673366;23780.0;3
126730416386356;1764844674364;23780.0;3
126730913400262;1764844674864;23780.0;3
126731410908752;1764844675360;23780.0;3
126731907699116;1764844675860;23780.0;3
126732901970783;1764844676846;23780.0;3
126733399132918;1764844677349;23780.0;3
126733896763439;1764844677839;23780.0;3
126734393437866;1764844678340;23780.0;3
126734890589533;1764844678849;23780.0;3
126735884890887;1764844679829;23780.0;3
126736382047398;1764844680329;23780.0;3
126736879196043;1764844680824;23797.0;3
126737376871304;1764844681336;23797.0;3
126737873496929;1764844681816;23797.0;3
126738370657293;1764844682338;23797.0;3
126739364959168;1764844683307;23797.0;3
126739862112137;1764844683805;23797.0;3
126740359244793;1764844684317;23797.0;3
126740856564012;1764844684809;23797.0;3
126741353548179;1764844685310;23797.0;3
126741850708387;1764844685806;23797.0;3
126742845005210;1764844686802;23797.0;3
126743342151564;1764844687298;23797.0;3
126743839313856;1764844687794;23797.0;3
126744336458075;1764844688279;23797.0;3
126744833584585;1764844688789;23797.0;3
126745330731096;1764844689274;23797.0;3
126745828238543;1764844689785;23797.0;3
126746822178596;1764844690773;23815.0;3
126747319323908;1764844691267;23815.0;3
126747816467918;1764844691759;23815.0;3
126748313619585;1764844692264;23815.0;3
126748810761408;1764844692756;23815.0;3
126749307890523;1764844693254;23815.0;3
126749805049429;1764844693753;23815.0;3
126750302191825;1764844694256;23815.0;3
126751296513856;1764844695255;23815.0;3
126751793631252;1764844695751;23815.0;3
126752290770002;1764844696234;23815.0;3
126752787918127;1764844696732;23815.0;3
126753285064481;1764844697228;23815.0;3
126753782189689;1764844697729;23815.0;3
126754279359325;1764844698222;23815.0;3
126755273636929;1764844699221;23815.0;3
126755770776408;1764844699716;23815.0;3
126756267999950;1764844700211;23815.0;3
126756765076564;1764844700710;23834.0;3
126757262199116;1764844701218;23834.0;3
126757759355835;1764844701706;23834.0;3
126758256682658;1764844702213;23834.0;3
126759250796096;1764844703200;23834.0;3
126759747931668;1764844703693;23834.0;3
126760245067502;1764844704190;23834.0;3
126760742218908;1764844704686;23834.0;3
126761239342658;1764844705187;23834.0;3
126761736535627;1764844705679;23834.0;3
126762233645783;1764844706191;23834.0;3
126762730791304;1764844706674;23834.0;3
126763227913335;1764844707172;23834.0;3
126764222191616;1764844708184;23834.0;3
126764719362866;1764844708666;23834.0;3
126765216508960;1764844709159;23834.0;3
126765713644377;1764844709676;23834.0;3
126766210780262;1764844710158;23834.0;3
126766707930471;1764844710652;23834.0;3
126767205071252;1764844711153;23852.0;3
126767702197658;1764844711645;23852.0;3
126768199334689;1764844712148;23852.0;3
126768696523127;1764844712654;23852.0;3
126769193629429;1764844713136;23852.0;3
126769690761512;1764844713642;23852.0;3
126770685031408;1764844714636;23852.0;3
126771182190418;1764844715132;23852.0;3
126771679308439;1764844715626;23852.0;3
126772176574012;1764844716126;23852.0;3
126772673597033;1764844716619;23852.0;3
126773170729585;1764844717116;23852.0;3
126773667890991;1764844717614;23852.0;3
126774165023908;1764844718111;23852.0;3
126774662160627;1764844718618;23852.0;3
126775159295418;1764844719113;23852.0;3
126775656449221;1764844719607;23852.0;3
126776153569429;1764844720108;23852.0;3
126777147860835;1764844721099;23870.0;3
126777645004481;1764844721600;23870.0;3
126778142130054;1764844722088;23870.0;3
126778639269741;1764844722599;23870.0;3
126779136543179;1764844723093;23870.0;3
126779633541408;1764844723585;23870.0;3
126780131026252;1764844724080;23870.0;3
126780627860783;1764844724583;23870.0;3
126781124967450;1764844725085;23870.0;3
126781622101438;1764844725581;23870.0;3
126782616518001;1764844726581;23870.0;3
126783113534928;1764844727057;23870.0;3
126783610653782;1764844727574;23870.0;3
126784107810970;1764844728063;23870.0;3
126784604945397;1764844728549;23870.0;3
126785102070292;1764844729047;23870.0;3
126785599217011;1764844729542;23870.0;3
126786593509772;1764844730552;23870.0;3
126787090629615;1764844731048;23889.0;3
126787587764928;1764844731533;23889.0;3
126788084894407;1764844732039;23889.0;3
126788582034511;1764844732537;23889.0;3
126789079173834;1764844733029;23889.0;3
126789576372428;1764844733519;23889.0;3
126790073447897;1764844734017;23889.0;3
126791067710917;1764844735011;23889.0;3
126791564848261;1764844735519;23889.0;3
126792061981699;1764844736008;23889.0;3
126792559130397;1764844736509;23889.0;3
126793056378313;1764844737009;23889.0;3
126793553407376;1764844737499;23889.0;3
126794050539459;1764844738008;23889.0;3
126794547698053;1764844738497;23889.0;3
126795044820813;1764844738998;23889.0;3
126795541943782;1764844739487;23889.0;3
126796039104563;1764844739988;23889.0;3
126796536971386;1764844740479;23889.0;3
126797033372845;1764844740981;23908.0;3
126797530493157;1764844741473;23908.0;3
126798027641282;1764844741981;23908.0;3
126798524753626;1764844742476;23908.0;3
126799021915032;1764844742970;23908.0;3
126799519059042;1764844743462;23908.0;3
126800016934876;1764844743964;23908.0;3
126801010461126;1764844744969;23908.0;3
126801507624824;1764844745476;23908.0;3
126802004755501;1764844745955;23908.0;3
126802501872584;1764844746465;23908.0;3
126802999000709;1764844746944;23908.0;3
126803496894459;1764844747441;23908.0;3
126803993290605;1764844747939;23908.0;3
126804490430657;1764844748438;23908.0;3
126804987672636;1764844748936;23908.0;3
126805484705449;1764844749441;23908.0;3
126805981844615;1764844749938;23908.0;3
126806478981751;1764844750423;23908.0;3
126806976171855;1764844750928;23927.0;3
126807473255553;1764844751417;23927.0;3
126807970397115;1764844751919;23927.0;3
126808467529251;1764844752417;23927.0;3
126808964667324;1764844752914;23927.0;3
126809461794251;1764844753405;23927.0;3
126809958924199;1764844753913;23927.0;3
126810456207272;1764844754405;23927.0;3
126810953218261;1764844754910;23927.0;3
126811450347272;1764844755400;23927.0;3
126811947558105;1764844755891;23927.0;3
126812941757480;1764844756907;23927.0;3
126813438897063;1764844757395;23927.0;3
126813936888522;1764844757881;23927.0;3
126814433167688;1764844758378;23927.0;3
126814930290917;1764844758892;23927.0;3
126815427511647;1764844759375;23927.0;3
126815924572115;1764844759869;23927.0;3
126816421714407;1764844760369;23927.0;3
126816918850136;1764844760865;23947.0;3
126817416738782;1764844761362;23947.0;3
126817913109355;1764844761860;23947.0;3
126818410253782;1764844762368;23947.0;3
126818907463522;1764844762858;23947.0;3
126819404535188;1764844763356;23947.0;3
126819901665397;1764844763851;23947.0;3
126820398798105;1764844764345;23947.0;3
126820896688470;1764844764839;23947.0;3
126821393077480;1764844765337;23947.0;3
126821890225761;1764844765840;23947.0;3
126822387444355;1764844766331;23947.0;3
126822884487376;1764844766830;23947.0;3
126823381636490;1764844767343;23947.0;3
126823878774980;1764844767823;23947.0;3
126824376685813;1764844768322;23947.0;3
126824873046803;1764844768820;23947.0;3
126825370179824;1764844769335;23947.0;3
126825867415501;1764844769826;23947.0;3
126826364453001;1764844770312;23947.0;3
126826861589355;1764844770827;23966.0;3
126827358727584;1764844771307;23966.0;3
126827856443157;1764844771808;23966.0;3
126828352997428;1764844772300;23966.0;3
126828850137949;1764844772794;23966.0;3
126829347388417;1764844773291;23966.0;3
126829844408886;1764844773790;23966.0;3
126830341556230;1764844774299;23966.0;3
126830838683105;1764844774784;23966.0;3
126831336589407;1764844775295;23966.0;3
126831832967688;1764844775781;23966.0;3
126832330093470;1764844776274;23966.0;3
126832827317428;1764844776770;23966.0;3
126833324384459;1764844777272;23966.0;3
126833821514355;1764844777771;23966.0;3
126834318649303;1764844778262;23966.0;3
126834816589511;1764844778773;23966.0;3
126835810077011;1764844779753;23966.0;3
126836307283730;1764844780255;23966.0;3
126836804357428;1764844780764;23985.0;3
126837301497011;1764844781249;23985.0;3
126837798612688;1764844781759;23985.0;3
126838296517167;1764844782246;23985.0;3
126838792891074;1764844782759;23985.0;3
126839290042584;1764844783233;23985.0;3
126839787259407;1764844783730;23985.0;3
126840284301855;1764844784239;23985.0;3
126840781448886;1764844784727;23985.0;3
126841278568105;1764844785226;23985.0;3
126841776543394;1764844785736;23985.0;3
126842272849853;1764844786216;23985.0;3
126842769998394;1764844786719;23985.0;3
126843267180530;1764844787227;23985.0;3
126844261399749;1764844788212;23985.0;3
126844758508863;1764844788701;23985.0;3
126845256227665;1764844789199;23985.0;3
126845752787144;1764844789698;23985.0;3
126846249921155;1764844790206;23985.0;3
126846747542769;1764844790696;24005.0;3
126847244207144;1764844791187;24005.0;3
126847741321259;1764844791692;24005.0;3
126848238460582;1764844792195;24005.0;3
126848736173863;1764844792680;24005.0;3
126849232717144;1764844793177;24005.0;3
126849729865946;1764844793675;24005.0;3
126850227592926;1764844794173;24005.0;3
126850724126936;1764844794671;24005.0;3
126851718385842;1764844795669;24005.0;3
126852215673759;1764844796168;24005.0;3
126852712666103;1764844796661;24005.0;3
126853209787301;1764844797168;24005.0;3
126853707016311;1764844797659;24005.0;3
126854204064957;1764844798152;24005.0;3
126854701193551;1764844798660;24005.0;3
126855198317249;1764844799155;24005.0;3
126855695463446;1764844799643;24005.0;3
126856192587144;1764844800149;24005.0;3
126856689732196;1764844800641;24005.0;3
126857187060426;1764844801138;24024.0;3
126857683982405;1764844801632;24024.0;3
126858181131676;1764844802136;24024.0;3
126858678255009;1764844802635;24024.0;3
126859175383238;1764844803135;24024.0;3
126859672530946;1764844803615;24024.0;3
126860169659071;1764844804130;24024.0;3
126861163926311;1764844805127;24024.0;3
126861661060321;1764844805615;24024.0;3
126862158199384;1764844806114;24024.0;3
126862655330269;1764844806609;24024.0;3
126863152459905;1764844807095;24024.0;3
126863649585478;1764844807606;24024.0;3
126864147569592;1764844808090;24024.0;3
126864643881103;1764844808586;24024.0;3
126865141006363;1764844809084;24024.0;3
126865638133915;1764844809595;24024.0;3
126866135272509;1764844810089;24024.0;3
126866632411259;1764844810578;24024.0;3
126867129527613;1764844811075;24043.0;3
126867627236103;1764844811573;24043.0;3
126868123808967;1764844812069;24043.0;3
126868620939124;1764844812573;24043.0;3
126869118093707;1764844813071;24043.0;3
126869615214696;1764844813559;24043.0;3
126870112350269;1764844814056;24043.0;3
126870609501728;1764844814555;24043.0;3
126871107212144;1764844815058;24043.0;3
126871603755009;1764844815548;24043.0;3
