t_Android;t_unix;x;y;z;0;a
126927701584517;1764844871643;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927711515350;1764844871670;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927721465403;1764844871670;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927731395663;1764844871674;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927741361444;1764844871694;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927751293788;1764844871694;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927761248632;1764844871719;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927771508475;1764844871719;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927781103840;1764844871728;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927791061809;1764844871732;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927801039361;1764844871743;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927810942955;1764844871768;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927820897590;1764844871768;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927830832955;1764844871774;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927840773580;1764844871782;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927850722955;1764844871792;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927860673788;1764844871818;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927870603423;1764844871818;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927880541132;1764844871823;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927890490507;1764844871833;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927900453892;1764844871841;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927910366028;1764844871867;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927920315767;1764844871867;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927930255975;1764844871871;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927940186913;1764844871881;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927950153996;1764844871893;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927960089778;1764844871918;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927969832434;1764844871918;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927979971496;1764844871923;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927989731028;1764844871933;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927999676653;1764844871942;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928009730923;1764844871965;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928019620663;1764844871965;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928029680663;1764844871972;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928039635090;1764844871980;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928049568684;1764844871991;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928059508580;1764844872015;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928069450194;1764844872015;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928079405403;1764844872020;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928089357069;1764844872032;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928099287017;1764844872043;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928109215715;1764844872066;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928119161236;1764844872066;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928129099153;1764844872070;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928139073632;1764844872080;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928149000246;1764844872090;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928159008423;1764844872117;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928168904465;1764844872117;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928178818632;1764844872119;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928188895663;1764844872130;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928198915090;1764844872147;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928208662121;1764844872174;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928218575559;1764844872174;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928228947642;1764844872174;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928238481861;1764844872181;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928248437955;1764844872196;-0.2519894;0.17737842;-0.09767914;0.94630706;3
